Filename,Reference,Location,Year,Temperature,Temperature Reference
FW_001,"Angelini, R., Agostinho A. (2005) Food web model of the Upper Paran ́a River Floodplain: description and aggregation effects. Ecological Modelling 181: 109–121","Parana, Brazil",2005,64.4,https://weatherspark.com/y/149910/Average-Weather-at-Parana-Airport-Brazil-Year-Round#Figures-Temperature
FW_002,"Angelini, R., Aloisio, GR., Carvalho, AR. (2011) Mixed food web control and stability in a Cerrado river (Brazil). Pan-American Journal of Aquatic Sciences 5(3):421-431","Cerrado River, Brazil",2011,73.5,https://rainforests.mongabay.com/cerrado/
FW_003,"Angelini, R., Velho, VF. (2011) Ecosystem structure and trophic analysis of Angolan fishery landings. Scientia Marina 75(2)",Angola,2011,78.0,https://www.climatestotravel.com/climate/angola
FW_004,"Angelini, R,. Agostinho A,. Carlos LG. (2006) Modeling energy flow in a large Neotropical Reservoir: a tool do evaluate fishing and stability. Neotrop. Ichthyol., 4(2):253-260, 2006","Itaipu, Brazil",2006,74.9,"https://weather-and-climate.com/average-monthly-min-max-Temperature-fahrenheit,itaipu-rio-de-janeiro-state-br,Brazil"
FW_005,"Torres MA., Coll M., Heymans JJ., Christensen V,. Sobrino I. (2013) Food-web structure of and fishing impacts on the Gulf of Cadiz ecosystem (South-western Spain). Ecological Modelling 265 (2013) 26–44","Cadiz, Spain",2013,64.4,https://weatherspark.com/y/33186/Average-Weather-in-Cadiz-Spain-Year-Round#Figures-Temperature
FW_006,"Cruz-Escalona, V.H., Arrequin-Sanchez, F., Zetina-Rejon, M. (2007) Analysis of the ecosystem structure of Laguna Alvarado, western Gulf of Mexico, by means of a mass balance model. Estuarine, Coastal and Shelf Science 72 (155-167)",Gulf of Mexico,2007,68.4,https://weatherspark.com/y/13854/Average-Weather-in-Gulf-Shores-Alabama-United-States-Year-Round
FW_007,"Christian, RR., Luczkovich JJ. (1999) Organizing and understanding a winter’s seagrass foodweb network through effective trophic levels","St Marks, Florida, USA",1999,70.2,https://www.weather-us.com/en/florida-usa/saint-marks-climate#temperature
FW_008,"J. Bascompte, C. J. Melián and E. Sala (2005). Interaction strength combinations and the overfishing of a marine food web. Proceedings of the National Academy of Sciences USA, 102: 5443-5447.",Caribbean,2005,81,https://www.currentresults.com/Weather/Caribbean/average-annual-temperature-rainfall.php
FW_009,"Angelini, R., Morais, R., Catella AC., Resende KE., Libralato, S. (2013) Aquatic food webs of the oxbow lakes in the Pantanal: A new site for fisheries guaranteed by alternated control? Ecological Modelling 253 (82– 96)","South Pantanal Plain, River Basin, Baía da Onça, Brazil",2013,69.8,https://weatherspark.com/y/30032/Average-Weather-in-Pantanal-Brazil-Year-Round
FW_010,"Angelini, R., Morais, R., Catella AC., Resende KE., Libralato, S. (2013) Aquatic food webs of the oxbow lakes in the Pantanal: A new site for fisheries guaranteed by alternated control? Ecological Modelling 253 (82– 96)","South Pantanal Plain, River Basin, Braco Morto, Brazil",2013,69.8,https://weatherspark.com/y/30032/Average-Weather-in-Pantanal-Brazil-Year-Round
FW_011,"Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161","Maine, USA",2003,40.9,http://www.worldclimate.com/climate/us/maine
FW_012_01,"Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161","North Carolina, USA",2003,62.7,http://www.worldclimate.com/climate/us/north-carolina
FW_012_02,"Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161	","North Carolina, USA	",2003,62.7,http://www.worldclimate.com/climate/us/north-carolina
FW_013_01,"Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161	","Otago, New Zealand	",2003,50,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdf
FW_013_02,"Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161	","Otago, New Zealand	",2003,50,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdf
FW_013_03,"Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161	","Otago, New Zealand	",2003,50,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdf
FW_013_04,"Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161	","Otago, New Zealand	",2003,50,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdf
FW_013_05,"Thompson, R., Townsend, C. (2003) IMPACTS ON STREAM FOOD WEBS OF NATIVE AND EXOTIC FOREST: AN INTERCONTINENTAL COMPARISON. Ecology, 84(1), pp. 145–161	","Otago, New Zealand	",2003,50,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdf
FW_014_01,"Townsend, R. Colin., Thompson, M. Ross., McInstosh, R. Angus., Kilroy, Cathy., Edwards, Eric., Scarsbrook, R. Mike. (1998) Disturbance, resource supply, and food-web architecture in streams. Ecology Letters 1: 200-109	","Otago, New Zealand	",1998,48.2,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdf
FW_014_02,"Townsend, R. Colin., Thompson, M. Ross., McInstosh, R. Angus., Kilroy, Cathy., Edwards, Eric., Scarsbrook, R. Mike. (1998) Disturbance, resource supply, and food-web architecture in streams. Ecology Letters 1: 200-109	","Otago, New Zealand	",1998,48.2,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdf
FW_014_03,"Townsend, R. Colin., Thompson, M. Ross., McInstosh, R. Angus., Kilroy, Cathy., Edwards, Eric., Scarsbrook, R. Mike. (1998) Disturbance, resource supply, and food-web architecture in streams. Ecology Letters 1: 200-109	","Otago, New Zealand	",1998,48.2,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdf
FW_014_04,"Townsend, R. Colin., Thompson, M. Ross., McInstosh, R. Angus., Kilroy, Cathy., Edwards, Eric., Scarsbrook, R. Mike. (1998) Disturbance, resource supply, and food-web architecture in streams. Ecology Letters 1: 200-109	","Otago, New Zealand	",1998,48.2,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdf
FW_015_01,"Thompson, R., Townsend, C. (2000) Is resolution the solution?: the effect of taxonomic resolution on the calculated properties of three stream food webs. Freshwater Biology 44, 413-422	","Otago, New Zealand	",2000,49.6,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdf
FW_015_02,"Thompson, R., Townsend, C. (2000) Is resolution the solution?: the effect of taxonomic resolution on the calculated properties of three stream food webs. Freshwater Biology 44, 413-422	","Otago, New Zealand	",2000,49.6,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdf
FW_015_03,"Thompson, R., Townsend, C. (2000) Is resolution the solution?: the effect of taxonomic resolution on the calculated properties of three stream food webs. Freshwater Biology 44, 413-422	","Otago, New Zealand	",2000,49.6,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdff
FW_015_04,"Thompson, R., Townsend, C. (2000) Is resolution the solution?: the effect of taxonomic resolution on the calculated properties of three stream food webs. Freshwater Biology 44, 413-422	","Otago, New Zealand	",2000,49.6,https://niwa.co.nz/sites/niwa.co.nz/files/Otago%20Climate%20book%20WEB%202021.pdf
FW_016_01,"Baeta, A. , Niquil, A., Marques, J. C., Patrício, J. (2011) Modelling the effects of eutrophication, mitigation measures and an extreme flood event on estuarine benthic food webs. Ecological Modelling 222, 1209–1221	","Mondego, Portugal	",2021,55,https://en.climate-data.org/europe/portugal/lajeosa-do-mondego/lajeosa-do-mondego-507748/
FW_017_01,"Pozas-Schacre, C., et al. (2021). Congruent trophic pathways underpin global coral reef food webs; Randall, J. E. (1967). Food habits of reef fishes of the West Indies. Stud. Trop. Oceanogr. 5: 665-847.	",U.S. Virgin Islands        ,1967,80.3,https://weatherspark.com/y/150287/Average-Weather-in-U.S.-Virgin-Islands-Year-Round
